202.155.155.245,8085,HK,Lain.sh Customer Prefix
172.232.231.191,10443,ID,Linode
172.232.231.191,444,ID,Linode
172.232.239.222,29648,ID,Linode
43.218.77.16,443,ID,Amazon.com, Inc.
43.218.77.16,1443,ID,Amazon.com, Inc.
31.97.50.106,443,ID,Hostinger International Limited
117.54.114.103,443,ID,IndoInternet Network
156.244.1.250,8443,ID,Lightnode Limited
82.153.226.158,8443,ID,PT Industri Kreatif Digital
103.6.207.108,8080,ID,PT Pusat Media Indonesia
103.6.207.108,19224,ID,PT Pusat Media Indonesia
36.95.152.58,12137,ID,PT Telekomunikasi Indonesia
172.232.232.163,32225,US,Linode
172.232.232.163,443,US,Linode
172.232.232.163,9377,US,Linode
172.232.232.163,386,US,Linode
172.232.232.163,20205,US,Linode
172.232.232.163,74,US,Linode
172.232.232.163,4399,US,Linode
172.232.232.163,12306,US,Linode
202.155.8.41,2053,US,RWIPXO
